   0.00000000       0.00000000       60.0000000       70.0000000       0.00000000    
   2.60316563       2.98802638       60.0000000       69.9509964      0.100000001    
   5.20633125       5.87805271       60.0000000       69.8040009      0.200000003    
   7.80949736       8.67007923       60.0000000       69.5589981      0.300000012    
   10.4126625       11.3641052       60.0000000       69.2160034      0.400000006    
   13.0158281       13.9601316       60.0000000       68.7750015      0.500000000    
   15.6189947       16.4581585       60.0000000       68.2360001      0.600000024    
   18.2221603       18.8581848       60.0000000       67.5989990      0.700000048    
   20.8253269       21.1602135       60.0000000       66.8639984      0.800000072    
   23.4284935       23.3642387       60.0000000       66.0309982      0.900000095    
   26.0316601       25.4702663       60.0000000       65.0999985       1.00000012    
   28.6348248       27.4782944       60.0000000       64.0709991       1.10000014    
   31.2379913       29.3883190       60.0000000       62.9439964       1.20000017    
   33.8411598       31.2003479       60.0000000       61.7189980       1.30000019    
   36.4443245       32.9143715       60.0000000       60.3959961       1.40000021    
   39.0474892       34.5304031       60.0000000       58.9749985       1.50000024    
   41.6506577       36.0484238       60.0000000       57.4559937       1.60000026    
   44.2538223       37.4684525       60.0000000       55.8389969       1.70000029    
   46.8569908       38.7904778       60.0000000       54.1239929       1.80000031    
   49.4601555       40.0145035       60.0000000       52.3109932       1.90000033    
   52.0633202       41.1405334       60.0000000       50.3999939       2.00000024    
   54.6664810       42.1685524       60.0000000       48.3909950       2.10000014    
   57.2696457       43.0985794       60.0000000       46.2839966       2.20000005    
   59.8728065       43.9306107       60.0000000       44.0790024       2.29999995    
   62.4759712       44.6646271       60.0000000       41.7760010       2.39999986    
   65.0791321       45.3006554       60.0000000       39.3750038       2.49999976    
   67.6822968       45.8386841       60.0000000       36.8760071       2.59999967    
   70.2854614       46.2787132       60.0000000       34.2790108       2.69999957    
   72.8886261       46.6207314       60.0000000       31.5840111       2.79999948    
   75.4917908       46.8647652       60.0000000       28.7910194       2.89999938    
   78.0949478       47.0107880       60.0000000       25.9000168       2.99999928    
   80.6981125       47.0588226       60.0000000       22.9110260       3.09999919    
   83.3012772       47.0088425       60.0000000       19.8240280       3.19999909    
   85.9044418       46.8608704       60.0000000       16.6390305       3.29999900    
   88.5076065       46.6148987       60.0000000       13.3560333       3.39999890    
   91.1107635       46.2709312       60.0000000       9.97504044       3.49999881    
   93.7139282       45.8289528       60.0000000       6.49604416       3.59999871    
   96.3170929       45.2889786       60.0000000       2.91904449       3.69999862    
   98.9202576       44.6510086       60.0000000     -0.755950928       3.79999852    
   101.523422       43.9150467       60.0000000      -4.52893829       3.89999843    
   104.126579       43.0810699       60.0000000      -8.39993286       3.99999833    
   106.729752       42.1490936       60.0000000      -12.3689423       4.09999847    
   109.332916       41.1191254       60.0000000      -16.4359360       4.19999838    
   111.936081       39.9911575       60.0000000      -20.6009293       4.29999828    
   114.539238       38.7651825       60.0000000      -24.8639221       4.39999819    
   117.142403       37.4412231       60.0000000      -29.2249146       4.49999809    
   119.745567       36.0192490       60.0000000      -33.6839066       4.59999800    
   122.348732       34.4992676       60.0000000      -38.2409058       4.69999790    
   124.951897       32.8813095       60.0000000      -42.8958969       4.79999781    
   127.555054       31.1653366       60.0000000      -47.6488876       4.89999771    
   130.158218       29.3513489       60.0000000      -52.4998932       4.99999762    
   132.761383       27.4393921       60.0000000      -57.4488831       5.09999752    
   135.364548       25.4294281       60.0000000      -62.4958649       5.19999743    
   137.967712       23.3214417       60.0000000      -67.6408691       5.29999733    
   140.570877       21.1154938       60.0000000      -72.8838501       5.39999723    
   143.174042       18.8115082       60.0000000      -78.2248535       5.49999714    
   145.777191       16.4095612       60.0000000      -83.6638336       5.59999704    
   148.380356       13.9095917       60.0000000      -89.2008209       5.69999695    
   150.983521       11.3115997       60.0000000      -94.8358307       5.79999685    
   153.586685       8.61564636       60.0000000      -100.568817       5.89999676    
   156.189850       5.82167053       60.0000000      -106.399811       5.99999666    
   158.793015       2.92970276       60.0000000      -112.328796       6.09999657    
   161.396179      -6.02569580E-02   60.0000000      -118.355789       6.19999647    
   163.999344      -3.14822388       60.0000000      -124.480774       6.29999638    
   166.602509      -6.33419800       60.0000000      -130.703781       6.39999628    
   169.205673      -9.61816406       60.0000000      -137.024765       6.49999619    
   171.808823      -13.0001373       60.0000000      -143.443756       6.59999609    
   174.411987      -16.4800873       60.0000000      -149.960739       6.69999599    
   177.015152      -20.0580597       60.0000000      -156.575729       6.79999590    
   179.618317      -23.7340393       60.0000000      -163.288727       6.89999580    
   182.221481      -27.5079803       60.0000000      -170.099701       6.99999571    
   184.824646      -31.3799591       60.0000000      -177.008698       7.09999561    
   187.427811      -35.3499146       60.0000000      -184.015686       7.19999552    
   190.030975      -39.4178772       60.0000000      -191.120667       7.29999542    
   192.634140      -43.5838623       60.0000000      -198.323669       7.39999533    
   195.237305      -47.8478241       60.0000000      -205.624664       7.49999523    
   197.840454      -52.2097931       60.0000000      -213.023651       7.59999514    
   200.443619      -56.6697540       60.0000000      -220.520630       7.69999504    
   203.046783      -61.2276917       60.0000000      -228.115601       7.79999495    
   205.649948      -65.8836975       60.0000000      -235.808624       7.89999485    
   208.253113      -70.6376495       60.0000000      -243.599609       7.99999475    
   210.856277      -75.4896088       60.0000000      -251.488586       8.09999466    
   213.459457      -80.4396057       60.0000000      -259.475616       8.19999504    
   216.062622      -85.4875793       60.0000000      -267.560638       8.29999542    
   218.665802      -90.6335602       60.0000000      -275.743652       8.39999580    
   221.268982      -95.8775940       60.0000000      -284.024719       8.49999619    
   223.872162      -101.219543       60.0000000      -292.403717       8.59999657    
